refcode,Density,smiles
ZEXJOD,1.902,ON1N=NN=C1N=NC1=NN=NN1O
BADNAY,1.901,O=[N+]([O-])c1nc2c3nc([N+](=O)[O-])nn3nnn2n1
UFUXOI,1.9,Nc1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-]
YUMPIG,1.899,O=C1NC(=NO1)C1=NOC(=O)N1
LAPCOW,1.898,Oc1c(O)c(cc(c1O)N(=O)=O)N(=O)=O
QORQUK,1.897,O=N(=O)C(CNN1N=NN=C1NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
TIZMAQ,1.896,O=[N+]([O-])c1nonc1Oc1nonc1[N+](=O)[O-]
SEDTUQ03,1.893,NC(N)=C([N+](=O)[O-])[N+](=O)[O-]
FORMIK,1.893,NC1=[N+]([O-])ON=C1C1=NO[N+](=C1N)[O-]
XAHMIE01,1.892,O=[N+]([O-])N1CN([N+](=O)[O-])c2nonc2N([N+](=O)[O-])C1
DUNDIA,1.891,O=CN1C2C3N(C=O)C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O
NOEURA01,1.891,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O
BAKLII,1.89,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(O)c1[N+](=O)[O-]
TIBMIA01,1.888,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)[n+]1[O-]
BICWEP,1.887,NC(=O)c1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-]
TICYOT,1.887,O=[N+]([O-])c1c(O)c([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O
VEZYAD,1.887,[N-]=[N+]=Nc1c([N+](=O)[O-])nc2c3nc([N+](=O)[O-])c(N=[N+]=[N-])n3nnn12
QORRUL,1.886,O=N(=O)C(CNc1nnc(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)nn1)(N(=O)=O)N(=O)=O
PEJBAJ,1.886,O=C1OCC2(COC(=O)N2N(=O)=O)N1N(=O)=O
ISEQON,1.886,ON=C(N=[N+]=[N-])C(=NO)N=[N+]=[N-]
MIDZAD,1.885,O=[N+]([O-])c1noc(N=Nc2nc([N+](=O)[O-])no2)n1
OLOBIA,1.884,NC(=N[N+](=O)[O-])N[N+](=O)[O-]
NIMFOE02,1.882,O=C1NC=C(C(=O)N1)N(=O)=O
QORSAS,1.881,O=N(=O)C(CNCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
OCAMAJ,1.88,O=N(=O)C1=CC2=NO[N+](=C2C=C1N(=O)=O)[O-]
OXONOG,1.879,O=[N+]([O-])Nc1nonc1[N+]([O-])=Nc1nonc1N=Nc1nonc1N=[N+]([O-])c1nonc1N[N+](=O)[O-]
DILFUZ,1.876,O=[N+]([O-])N(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KAHHIM02,1.876,O=[N+]([O-])c1n[nH]c([N+](=O)[O-])c1[N+](=O)[O-]
TIBMOG,1.876,Nc1c([N+](=O)[O-])c(N)[n+]([O-])c(N)c1[N+](=O)[O-]
TIPMIQ,1.876,OC(=O)CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
XOCZUL,1.876,O=C(CN=[N+]=[N-])N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)C(=O)CN=[N+]=[N-]
XUDROF,1.876,NN1N=NC(=C1C1=C(N=NN1N)N(=O)=O)N(=O)=O
WEKGUP,1.875,O=[N+]([O-])c1cc([N+](=O)[O-])[n+]([O-])c([N+](=O)[O-])c1
AWELUL,1.874,O=N(=O)C(C1=NON=C1N=NC1=NON=C1C(N(=O)=O)N(=O)=O)N(=O)=O
DORYOA,1.874,NN1N=C(C(=C1N(=O)=O)N1N=C(C(=C1N(=O)=O)N)N(=O)=O)N(=O)=O
YAWQAR,1.874,O=N(=O)Nc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
OKIRUX,1.873,O=C1NC(=O)N=C(N1)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
KAHHUY,1.872,Nc1[nH]nc([N+](=O)[O-])c1[N+](=O)[O-]
GANTAT,1.871,O=N(=O)C1=C(NC2=NN3C=NN=C3N=N2)C(=NN1)N(=O)=O
QETTOB,1.871,O=N(=O)C1=NNC(=N1)C1=NNN=C1N(=O)=O
UDOQUC,1.871,O=N(=O)C1=NNC(=N1)C1=NON=C1N(=O)=O
OTAKEB,1.871,N1C2=NON=C2C2=NON=C2C2=NON=C12
CATJIQ01,1.87,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1
KEDJUB,1.869,NC1=C(N(CC2=NN=NN2)N=C1N(=O)=O)N(=O)=O
UZAXIE,1.869,O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
VOQVEE,1.869,CN1N=C(N=C1N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O
ZAYGIS,1.869,O=C1OCC(CON(=O)=O)(CON(=O)=O)N1N(=O)=O
GICQAN,1.869,NC1=NC(=NO1)C1=[N+]([O-])ON=C1N(=O)=O
DIQRON,1.868,O=[N+]([O-])OCC(O[N+](=O)[O-])C(O[N+](=O)[O-])C(O[N+](=O)[O-])C(CO[N+](=O)[O-])O[N+](=O)[O-]
NBARBA,1.868,O=c1[nH]c(O)c([N+](=O)[O-])c(=O)[nH]1
TAYHUX,1.868,O=[N+]([O-])c1cc([N+](=O)[O-])c2n[n+]3[n-]c4c([N+](=O)[O-])cc([N+](=O)[O-])nc4n3c2c1
TENZOD,1.868,Nn1nc([N+](=O)[O-])c([N+](=O)[O-])n1
HASGAM,1.868,O=N(=O)CN1N=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O
ELIGEN,1.867,O=N(=O)OCN1N=C(C2=C1C(=NN2CON(=O)=O)N(=O)=O)N(=O)=O
VIWRAV,1.867,O=N(=O)N=C1NN=NN1
SOYDIV,1.867,O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C1=NON=C1N=NC1=NON=C1N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
IRUQIX,1.866,O=C1NC(NN=C1CN(=O)=O)=NN(=O)=O
XOCCAV,1.866,NN1N=C(C(=C1N)N(=O)=O)N(=O)=O
NOMKEG,1.865,O=C1N(CC(CN1N(=O)=O)ON(=O)=O)N(=O)=O
DACYEL,1.863,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(C(=O)O)c1[N+](=O)[O-]
JOTNOX,1.863,O=N(=O)C1=NN(CCN2N=C(C(=C2N(=O)=O)N(=O)=O)N(=O)=O)C(=C1N(=O)=O)N(=O)=O
NMALAM01,1.863,NC(O)=C(C(N)=O)N(=O)=O
HOBZEE,1.862,CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
NOEURA,1.861,O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
